,model,nb_neurones_per_layers,nb_layers,future_temporal_horizon,activation,batchsize,future_delay,smoothing,subsampling_dt,state_configuration,data,data_dt,learning_rate,nb_collocations,seed,transfer_learning,train_on_collocation,ensemble_collocation,early_stopping,nb_epochs,training_name,pretrained_idx,status,training_idx
0,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,0
1,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,1
2,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,2
3,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,3
4,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,4
5,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,5
6,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,6
7,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,7
8,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,8
9,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,9
10,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,10
11,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,11
12,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,12
13,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,13
14,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,14
15,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,15
16,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,16
17,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,17
18,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,18
19,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,19
20,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,20
21,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,21
22,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,22
23,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,23
24,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,24
25,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,25
26,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,26
27,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,27
28,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,28
29,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,29
30,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,30
31,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,31
32,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,32
33,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,33
34,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,34
35,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,35
36,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,36
37,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,37
38,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,38
39,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,39
40,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,40
41,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,41
42,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,42
43,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,43
44,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,44
45,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,45
46,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,46
47,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,47
48,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,48
49,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,49
50,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,50
51,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,51
52,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,52
53,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,53
54,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,54
55,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,55
56,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,56
57,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,57
58,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,58
59,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,59
60,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,60
61,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,61
62,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,62
63,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,63
64,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,64
65,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,65
66,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,66
67,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,67
68,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,68
69,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,69
70,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,70
71,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,71
72,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,72
73,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,73
74,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,74
75,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,75
76,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,76
77,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,77
78,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,78
79,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,79
80,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,80
81,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,81
82,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,82
83,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,83
84,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,84
85,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,85
86,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,86
87,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,87
88,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,88
89,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,89
90,mlp,8,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,90
91,mlp,8,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,91
92,mlp,8,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,92
93,mlp,8,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,93
94,mlp,8,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,94
95,mlp,8,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,95
96,mlp,8,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,96
97,mlp,8,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,97
98,mlp,8,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,98
99,mlp,8,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,99
100,mlp,8,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,100
101,mlp,8,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,101
102,mlp,8,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,102
103,mlp,8,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,103
104,mlp,8,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,104
105,mlp,16,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,105
106,mlp,16,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,106
107,mlp,16,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,107
108,mlp,16,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,108
109,mlp,16,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,109
110,mlp,16,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,110
111,mlp,16,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,111
112,mlp,16,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,112
113,mlp,16,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,113
114,mlp,16,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,114
115,mlp,16,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,115
116,mlp,16,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,116
117,mlp,16,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,117
118,mlp,16,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,118
119,mlp,16,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,119
120,mlp,24,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,120
121,mlp,24,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,121
122,mlp,24,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,122
123,mlp,24,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,123
124,mlp,24,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,124
125,mlp,24,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,125
126,mlp,24,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,126
127,mlp,24,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,127
128,mlp,24,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,128
129,mlp,24,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,129
130,mlp,24,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,130
131,mlp,24,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,131
132,mlp,24,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,132
133,mlp,24,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,133
134,mlp,24,4,0.5,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,134
135,mlp,8,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,135
136,mlp,8,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,136
137,mlp,8,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,137
138,mlp,8,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,138
139,mlp,8,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,139
140,mlp,8,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,140
141,mlp,8,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,141
142,mlp,8,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,142
143,mlp,8,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,143
144,mlp,8,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,144
145,mlp,8,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,145
146,mlp,8,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,146
147,mlp,8,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,147
148,mlp,8,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,148
149,mlp,8,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,149
150,mlp,16,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,150
151,mlp,16,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,151
152,mlp,16,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,152
153,mlp,16,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,153
154,mlp,16,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,154
155,mlp,16,4,0.05,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,155
